Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	May 	11.085 	12.693 	10.707 	9.001 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	June 	12.919 	13.703 	13.414 	11.623 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	July 	9.989 	10.946 	9.506 	8.823 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	August 	7.450 	6.843 	7.435 	7.055 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	September 	15.436 	15.816 	12.017 	10.085 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	October 	12.660 	11.202 	7.684 	9.354 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	November 	11.583 	12.423 	9.877 	8.360 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	December 	12.340 	11.127 	10.438 	5.954 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	"E21 1975-1981 
E30 1982-1991 
E36 1991-1998 
E46 1998-2005 
E90 2005-2012 "					
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	January 	4.630 	4.019 	4.194 	3.674 	2.631 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	February 	4.190 	4.252 	3.803 	3.428 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	March 	9.723 	9.413 	10.055 	7.878 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	April 	7.353 	6.023 	5.729 	4.851 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	May 	6.411 	6.323 	5.746 	5.522 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	June 	6.858 	7.131 	6.680 	5.273 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	July 	5.619 	5.039 	4.302 	3.574 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	August 	3.860 	3.157 	3.476 	2.411 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	September 	8.064 	8.188 	6.761 	4.965 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	October 	5.712 	5.065 	5.584 	3.496 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	November 	5.029 	4.746 	4.144 	3.894 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	December 	5.320 	4.627 	4.236 	3.282 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	January 	7.689 	5.198 	4.792 	9.899 	6.507 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	February 	6.339 	6.030 	6.749 	7.613 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	March 	10.346 	9.258 	11.274 	11.856 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	April 	7.878 	7.003 	6.988 	9.597 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	May 	6.561 	6.876 	9.847 	8.505 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	June 	7.062 	7.776 	11.643 	11.112 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	July 	7.455 	5.979 	9.198 	7.843 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	August 	5.530 	4.578 	8.173 	5.734 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	September 	9.453 	8.732 	13.593 	10.007 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	October 	7.361 	5.931 	8.701 	8.737 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	November 	6.413 	7.862 	9.012 	8.222 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	December 	6.811 	6.376 	9.983 	9.533 	(TD) 
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	"E12 1972-1981 
E28 1981-1988 
E34 1988-1995 
E39 1995-2003 
E60 2003-2010 "					
5-series	Go	Home» European Car Sales Data» BMW» BMW 5-series 	F10 2010-2017 					
6-series	Go		January 	423 	371 	237 	846 	537 
6-series	Go		February 	298 	350 	295 	888 	(TD) 
6-series	Go		March 	855 	797 	624 	1.389 	(TD) 
6-series	Go		April 	811 	498 	280 	1.096 	(TD) 
6-series	Go		May 	668 	519 	228 	898 	(TD) 
6-series	Go		June 	924 	608 	301 	1.161 	(TD) 
6-series	Go		July 	531 	327 	442 	805 	(TD) 
6-series	Go		August 	395 	262 	167 	566 	(TD) 
6-series	Go		September 	879 	785 	501 	913 	(TD) 
6-series	Go		October 	574 	427 	661 	761 	(TD) 
6-series	Go		November 	509 	338 	1.031 	788 	(TD) 
6-series	Go		December 	503 	450 	843 	592 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	January 	338 	845 	847 	868 	484 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	February 	346 	815 	833 	762 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	March 	515 	1.439 	1.593 	1.256 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	April 	392 	1.273 	946 	842 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	May 	357 	1.132 	1.096 	741 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	June 	336 	1.523 	1.136 	1.040 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	July 	207 	997 	872 	669 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	August 	488 	722 	699 	544 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	September 	296 	1.356 	1.205 	799 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	October 	1.160 	1.092 	651 	711 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	November 	775 	1.036 	827 	657 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	December 	775 	1.090 	828 	663 	(TD) 
7-series	Go	Home» European Car Sales Data» BMW» BMW 7-series 	"E32 1986-1994 
E38 1994-2001 
E65 2001-2008 
F01 2008-2015 "					
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	January 				(TD) 	333 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	February 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	March 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	April 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	May 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	June 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	July 				(TD) 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	August 				157 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	September 				67 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	October 				189 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	November 				573 	(TD) 
8-series	Go	Home» European Car Sales Data» BMW» BMW 8-series 	December 				313 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	January 	649 	939 	1.858 	1.865 	2.385 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	February 	683 	814 	1.523 	1.626 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	March 	1.154 	1.149 	2.014 	2.278 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	April 	810 	903 	1.574 	1.892 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	May 	838 	648 	1.676 	1.666 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	June 	789 	606 	1.746 	1.996 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	July 	746 	588 	1.404 	1.681 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	August 	1.094 	1.352 	1.129 	1.744 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	September 	1.025 	2.348 	2.198 	2.387 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	October 	1.043 	1.770 	1.789 	2.231 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	November 	1.383 	2.075 	2.109 	2.377 	(TD) 
i3	Go	Home» European Car Sales Data» BMW» BMW i3 	December 	1.637 	1.807 	1.990 	2.509 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	January 	304 	110 	84 	64 	170 
